,episode_id,transition_id,state,action,immediate_reward,delayed_reward,done,next_state,info,reward,weight,priority,pred_action,pred_reward
86,213,34,[-0.07810017 -0.34786992 -0.01583739  0.06967898],1,1.0,0.0,False,[-0.08505757 -0.15252453 -0.01444381 -0.22795835],{},1.0,0.00023293733985557886,1.0,1.0,7.327627658843994
87,213,35,[-0.08505757 -0.15252453 -0.01444381 -0.22795835],1,1.0,0.0,False,[-0.08810806  0.04280082 -0.01900297 -0.52516215],{},1.0,0.00023293733985557886,1.0,1.0,7.3291215896606445
88,213,36,[-0.08810806  0.04280082 -0.01900297 -0.52516215],0,1.0,0.0,False,[-0.08725204 -0.15204863 -0.02950622 -0.23852728],{},1.0,0.00023293733985557886,1.0,1.0,7.279847621917725
89,213,37,[-0.08725204 -0.15204863 -0.02950622 -0.23852728],1,1.0,0.0,False,[-0.09029301  0.04348215 -0.03427676 -0.54036935],{},1.0,0.00023293733985557886,1.0,1.0,7.338452339172363
90,213,38,[-0.09029301  0.04348215 -0.03427676 -0.54036935],0,1.0,0.0,False,[-0.08942337 -0.15114165 -0.04508415 -0.25868053],{},1.0,0.00023293733985557886,1.0,1.0,7.282595634460449
91,213,39,[-0.08942337 -0.15114165 -0.04508415 -0.25868053],1,1.0,0.0,False,[-0.0924462   0.04459397 -0.05025776 -0.56523587],{},1.0,0.00023293733985557886,1.0,1.0,7.348682403564453
92,213,40,[-0.0924462   0.04459397 -0.05025776 -0.56523587],1,1.0,0.0,False,[-0.09155432  0.24038366 -0.06156248 -0.87331915],{},1.0,0.00023293733985557886,1.0,1.0,7.283702373504639
93,213,41,[-0.09155432  0.24038366 -0.06156248 -0.87331915],1,1.0,0.0,False,[-0.08674665  0.43628625 -0.07902886 -1.18470429],{},1.0,0.00023293733985557886,1.0,1.0,7.141840934753418
94,213,42,[-0.08674665  0.43628625 -0.07902886 -1.18470429],0,1.0,0.0,False,[-0.07802093  0.24227335 -0.10272295 -0.91780357],{},1.0,0.00023293733985557886,1.0,1.0,6.9892401695251465
95,213,43,[-0.07802093  0.24227335 -0.10272295 -0.91780357],1,1.0,0.0,False,[-0.07317546  0.43862281 -0.12107902 -1.24092269],{},1.0,0.00023293733985557886,1.0,1.0,7.12866735458374
96,213,44,[-0.07317546  0.43862281 -0.12107902 -1.24092269],1,1.0,0.0,False,[-0.064403    0.63507313 -0.14589747 -1.56895113],{},1.0,0.00023293733985557886,1.0,1.0,6.973789691925049
97,213,45,[-0.064403    0.63507313 -0.14589747 -1.56895113],0,1.0,0.0,False,[-0.05170154  0.4419635  -0.17727649 -1.32510597],{},1.0,0.00023293733985557886,1.0,1.0,6.816067218780518
98,213,46,[-0.05170154  0.4419635  -0.17727649 -1.32510597],0,1.0,0.0,False,[-0.04286227  0.24946696 -0.20377861 -1.0927332 ],{},1.0,0.00023293733985557886,1.0,1.0,6.9483561515808105
99,213,47,[-0.03787293  0.44660465 -0.22563328 -1.44181838],1,-1.0,46.0,True,[-0.03787293  0.44660465 -0.22563328 -1.44181838],{},-1.0,0.00023293733985557886,1.0,1.0,6.920569896697998
100,439,0,[-0.0120462   0.02524167 -0.02798218 -0.00035148],0,1.0,0.0,False,[-0.01154137 -0.16946803 -0.02798921  0.28337305],{},1.0,0.00023293733985557886,1.0,1.0,7.248799800872803
101,439,1,[-0.01154137 -0.16946803 -0.02798921  0.28337305],0,1.0,0.0,False,[-0.01493073 -0.36417982 -0.02232175  0.56709859],{},1.0,0.00023293733985557886,1.0,1.0,7.2476277351379395
102,439,2,[-0.01493073 -0.36417982 -0.02232175  0.56709859],0,1.0,0.0,False,[-0.02221433 -0.55898165 -0.01097978  0.85266649],{},1.0,0.00023293733985557886,1.0,1.0,7.133350372314453
103,439,3,[-0.02221433 -0.55898165 -0.01097978  0.85266649],0,1.0,0.0,False,[-0.03339396 -0.75395222  0.00607355  1.14187672],{},1.0,0.00023293733985557886,1.0,1.0,7.005185604095459
104,439,4,[-0.03339396 -0.75395222  0.00607355  1.14187672],1,1.0,0.0,False,[-0.048473   -0.55891017  0.02891108  0.85110466],{},1.0,0.00023293733985557886,1.0,1.0,6.88461446762085
105,439,5,[-0.048473   -0.55891017  0.02891108  0.85110466],0,1.0,0.0,False,[-0.05965121 -0.75441413  0.04593318  1.15273673],{},1.0,0.00023293733985557886,1.0,1.0,6.9657301902771
106,439,6,[-0.05965121 -0.75441413  0.04593318  1.15273673],0,1.0,0.0,False,[-0.07473949 -0.95010419  0.06898791  1.45946182],{},1.0,0.00023293733985557886,1.0,1.0,6.840583801269531
107,439,7,[-0.07473949 -0.95010419  0.06898791  1.45946182],0,1.0,0.0,False,[-0.09374157 -1.14600103  0.09817715  1.77287447],{},1.0,0.00023293733985557886,1.0,1.0,6.72048807144165
108,439,8,[-0.09374157 -1.14600103  0.09817715  1.77287447],1,1.0,0.0,False,[-0.11666159 -0.95211379  0.13363464  1.51226184],{},1.0,0.00023293733985557886,1.0,1.0,6.594741344451904
109,439,9,[-0.11666159 -0.95211379  0.13363464  1.51226184],1,1.0,0.0,False,[-0.13570387 -0.7588394   0.16387987  1.2641068 ],{},1.0,0.00023293733985557886,1.0,1.0,6.633537769317627
110,439,10,[-0.13570387 -0.7588394   0.16387987  1.2641068 ],0,1.0,0.0,False,[-0.15088066 -0.95563216  0.18916201  1.60330622],{},1.0,0.00023293733985557886,1.0,1.0,6.675972938537598
111,439,11,[-0.1699933  -1.15242202  0.22122814  1.94850811],0,-1.0,10.0,True,[-0.1699933  -1.15242202  0.22122814  1.94850811],{},-1.0,0.00023293733985557886,1.0,1.0,6.395832061767578
112,456,0,[ 0.04541201  0.04218389 -0.02866558 -0.0441041 ],0,1.0,0.0,False,[ 0.04625569 -0.15251553 -0.02954766  0.23939852],{},1.0,0.00023293733985557886,1.0,1.0,7.223633289337158
